dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:NO2,ayto:ozone,ayto:odometer,ayto:altitude,ayto:temperature,ayto:CO,ayto:particles,ayto:course,ayto:speed,uri
3047,2021-08-27T07:47:39Z,AirQualityObserved,43.449,-3.8677,116.0,120.0,,,22.9,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3047.csv
3006,2021-08-27T07:47:34Z,AirQualityObserved,43.4618,-3.8126,115.0,3.0,,,24.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3006.csv
3011,2021-08-27T07:47:14Z,AirQualityObserved,43.4602,-3.85356,115.0,5.0,,,27.0,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3011.csv
3058,2021-08-27T07:47:12Z,AirQualityObserved,43.448,-3.86846,54.0,121.0,,,24.9,0.2,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3058.csv
3114,2021-08-27T07:47:00Z,AirQualityObserved,43.4678,-3.83473,110.0,118.0,,,33.4,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3114.csv
3078,2021-08-27T07:46:47Z,AirQualityObserved,43.4655,-3.79677,115.0,120.0,,,23.9,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3078.csv
3005,2021-08-27T07:46:41Z,AirQualityObserved,43.4629,-3.79301,114.0,11.0,,,23.2,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3005.csv
3001,2021-08-27T07:46:33Z,AirQualityObserved,43.4482,-3.86826,84.0,3.0,,,24.2,0.3,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3001.csv
3018,2021-08-27T07:46:29Z,AirQualityObserved,43.461,-3.84883,115.0,34.0,,,26.8,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3018.csv
3015,2021-08-27T07:46:27Z,AirQualityObserved,43.4393,-3.84471,110.0,120.0,,,23.6,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3015.csv
3196,2021-08-27T07:46:07Z,AirQualityObserved,43.4582,-3.84073,165.0,0.0,,,31.9,0.0,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3196.csv
3119,2021-08-27T07:46:00Z,AirQualityObserved,43.1379,-2.07384,107.0,5.0,,,31.5,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3119.csv
3077,2021-08-27T07:45:55Z,AirQualityObserved,43.4615,-3.80977,114.0,120.0,,,24.8,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3077.csv
3008,2021-08-27T07:45:41Z,AirQualityObserved,43.469,-3.77699,91.0,10.0,,,21.9,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3008.csv
3059,2021-08-27T07:45:38Z,AirQualityObserved,43.4594,-3.8109,115.0,119.0,,,23.7,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3059.csv
3044,2021-08-27T07:45:36Z,AirQualityObserved,43.4631,-3.79629,116.0,120.0,,,24.3,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3044.csv
3021,2021-08-27T07:45:23Z,AirQualityObserved,43.4635,-3.78825,115.0,118.0,,,24.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3021.csv
3022,2021-08-27T07:45:19Z,AirQualityObserved,43.4739,-3.78579,115.0,9.0,,,24.1,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3022.csv
3019,2021-08-27T07:45:01Z,AirQualityObserved,43.4818,-3.78823,108.0,111.0,,,24.4,0.1,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3019.csv
3103,2021-08-27T07:45:00Z,AirQualityObserved,43.4731,-3.80707,116.0,9.0,,,24.6,1.6,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3103.csv
3111,2021-08-27T07:45:00Z,AirQualityObserved,43.4705,-3.80025,115.0,3.0,,,24.3,0.6,,,,http://datos.santander.es/api/datos/sensores_smart_mobile/3111.csv
